Site,Phase,Taxon,Family,Genus,domestic_wild,Proportion_per_Phase,Ubquity
City of David,CD_IA,Cupressus sempervirens wood,Cupressaceae,Cupressus,W,1,0
City of David,CD_IA,Ficus sycomorus wood,Moraceae,Ficus,D,2,0
City of David,CD_IA,Lens sp.,Fabaceae,Lens,D,1,0
City of David,CD_IA,Olea europaea L.,Oleaceae,Olea,D,17,0
City of David,CD_IA,Olea europaea L. wood,Oleaceae,Olea,D,25,0
City of David,CD_IA,Phoenix dactylifera L.,Palmaceae,Phoenix,D,1,0
City of David,CD_IA,Pinus halepensis Miller wood,Pinaceae,Pinus,W,4,0
City of David,CD_IA,Pistacia atlantica Desf. wood,Anacardiaceae,Pistacia,W,1,0
City of David,CD_IA,Pistacia palaestina wood,Anacardiaceae,Pistacia,W,9,0
City of David,CD_IA,Populus euphratica wood,Salicaceae,Populus,W,2,0
City of David,CD_IA,Populus sp. wood,Salicaceae,Populus,W,1,0
City of David,CD_IA,Prunus armeniaca L.,Rosaceae,Prunus,K,1,0
City of David,CD_IA,Prunus persica (L.) Batsch,Rosaceae,Prunus,W,1,0
City of David,CD_IA,Punica granatum L.,Punicaceae,Punica,D,1,0
City of David,CD_IA,Quercus calliprinos L. wood,Fagaceae,Quercus,W,7,0
City of David,CD_IA,Quercus ithaburensis wood,Fagaceae,Quercus,W,7,0
City of David,CD_IA,Tamarix aphylla wood,Tamaricaceae,Tamarix,W,2,0
City of David,CD_IA,Triticum species indeterminate fr thr/gl wheat grains,Poaceae,Triticum,D,4,0
City of David,CD_IA,Vicia sp.,Fabaceae,Vicia,D,1,0
City of David,CD_IA,Vitis vinifera L. pips,Vitaceae,Vitis,D,5,0
City of David,CD_LBA,Olea europaea L. wood,Oleaceae,Olea,D,0,0
City of David,CD_LBA,Pistacia palaestina wood,Anacardiaceae,Pistacia,W,0,0
City of David,CD_MBA,Olea europaea L.,Oleaceae,Olea,D,5,0
City of David,CD_MBA,Olea europaea L. wood,Oleaceae,Olea,D,35,0
City of David,CD_MBA,Pinus halepensis Miller wood,Pinaceae,Pinus,W,10,0
City of David,CD_MBA,Pistacia palaestina wood,Anacardiaceae,Pistacia,W,5,0
City of David,CD_MBA,Pistacia sp. wood,Anacardiaceae,Pistacia,W,10,0
City of David,CD_MBA,Quercus ithaburensis wood,Fagaceae,Quercus,W,25,0
City of David,CD_MBA,Vitis vinfera L. wood,Vitaceae,Vitis,D,10,0
City of David,CD_P,Amygdalus communis L. wood,Rosaceae,Amygdalus,W,8,0
City of David,CD_P,Cupressus sempervirens wood,Cupressaceae,Cupressus,W,8,0
City of David,CD_P,Hordeum sp. (imprints),Poaceae,Hordeum,W,15,0
City of David,CD_P,Olea europaea L.,Oleaceae,Olea,D,46,0
City of David,CD_P,Pinus halepensis Miller wood,Pinaceae,Pinus,W,8,0
City of David,CD_P,Pistacia palaestina wood,Anacardiaceae,Pistacia,W,15,0
Corinth,C_A,Ficus carica L.,Moraceae,Ficus,D,8,100
Corinth,C_A,Poaceae indet.,Poaceae,_,W,16,50
Corinth,C_A,Hordeum sp. grains,Poaceae,Hordeum,W,18,100
Corinth,C_A,Fabaceae indet.,Fabaceae,_,W,2,50
Corinth,C_A,Lens sp.,Fabaceae,Lens,D,21,100
Corinth,C_A,Olea europaea L.,Oleaceae,Olea,D,6,100
Corinth,C_A,Punica granatum L.,Punicaceae,Punica,D,1,50
Corinth,C_A,Triticum species free threshing wheat hexaploid grains,Poaceae,Triticum,D,10,50
Corinth,C_A,Triticum species indeterminate fr thr/gl wheat grains,Poaceae,Triticum,D,5,50
Corinth,C_A,Vicia sp.,Fabaceae,Vicia,D,8,100
Corinth,C_A,Vitis vinifera L. pips,Vitaceae,Vitis,D,5,100
Corinth,C_C,Capparis spinosa L.,Capparaceae,Capparis,W,0,5
Corinth,C_C,cf. Pisum sp.,Fabaceae,Pisum,W,0,5
Corinth,C_C,cf. Vicia ervilia,Fabaceae,Vicia,W,0,9
Corinth,C_C,Chenopodium sp.,Chenopodiaceae,Chenopodium,W,0,5
Corinth,C_C,Cicer arietinum L.,Fabaceae,Cicer,D,0,5
Corinth,C_C,Asteraceae indet.,Asteraceae,_,W,0,5
Corinth,C_C,Cyperaceae indet.,Cyperaceae,_,W,1,14
Corinth,C_C,Ficus carica L.,Moraceae,Ficus,D,4,41
Corinth,C_C,Fumaria sp.,Papaveraceae,Fumaria,W,0,5
Corinth,C_C,Poaceae indet.,Poaceae,_,W,3,50
Corinth,C_C,Hordeum sp. grains,Poaceae,Hordeum,W,9,59
Corinth,C_C,indeterminata,_,_,W,3,9
Corinth,C_C,Juniperus sp. wood,Cupressaceae,Juniperus,W,0,5
Corinth,C_C,Lamiaceae indet.,Lamiaceae,_,W,0,14
Corinth,C_C,Lathyrus sp.,Fabaceae,Lathyrus,W,0,9
Corinth,C_C,Fabaceae indet.,Fabaceae,_,W,2,27
Corinth,C_C,Lens sp.,Fabaceae,Lens,D,5,36
Corinth,C_C,Olea europaea L.,Oleaceae,Olea,D,57,68
Corinth,C_C,Olea europaea L. wood,Oleaceae,Olea,D,1,5
Corinth,C_C,Pinus sp. wood,Pinaceae,Pinus,W,2,18
Corinth,C_C,Pisum sp.,Fabaceae,Pisum,W,0,5
Corinth,C_C,Quercus sp., wood,Fagaceae,Quercus,W,0,5
Corinth,C_C,Triticum species free threshing wheat hexaploid grains,Poaceae,Triticum,D,2,27
Corinth,C_C,Triticum species indeterminate fr thr/gl wheat grains,Poaceae,Triticum,D,4,45
Corinth,C_C,Vicia ervilia (L.) Willd.,Fabaceae,Vicia,D,0,9
Corinth,C_C,Vicia sp.,Fabaceae,Vicia,D,0,14
Corinth,C_C,Vitis vinifera L. fruits,Vitaceae,Vitis,D,1,14
Corinth,C_C,Vitis vinifera L. pips,Vitaceae,Vitis,D,4,59
Deir el_Balah,DB_LBIIB,Hordeum distichum grain (hulled),Poaceae,Hordeum,D,97,100
Deir el_Balah,DB_LBIIB,Hordeum distichum grain (naked),Poaceae,Hordeum,D,1,25
Deir el_Balah,DB_LBIIB,Lolium sp.,Poaceae,Lolium,W,0,25
Deir el_Balah,DB_LBIIB,Triticum species indeterminate free threshing wheat grains,Poaceae,Triticum,D,2,50
DeirAlla,DA_IA,Amygdalus communis L.,Rosaceae,Amygdalus,D,0,6
DeirAlla,DA_IA,Avena sp.,Poaceae,Avena,W,0,6
DeirAlla,DA_IA,Bromus sp.,Poaceae,Bromus,W,0,12
DeirAlla,DA_IA,Bupleurum subovatum type,Apiaceae,Bupleurum,W,0,6
DeirAlla,DA_IA,Cephalaria syriaca (L.) Schrader,Dipsacaceae,Cephalaria,W,0,6
DeirAlla,DA_IA,Chenopodium murale L.,Chenopodiaceae,Chenopodium,W,0,12
DeirAlla,DA_IA,Cicer arietinum L.,Fabaceae,Cicer,D,0,2
DeirAlla,DA_IA,Coriandrum sativum,Apiaceae,Coriandrum,D,0,41
DeirAlla,DA_IA,Coronilla sp.,Fabaceae,Coronilla,W,0,6
DeirAlla,DA_IA,Cuminum cyminum,Apiaceae,Cuminum,D,20,24
DeirAlla,DA_IA,Cyperus sp.,Cyperaceae,Cyperus,W,0,12
DeirAlla,DA_IA,Ficus carica L.,Moraceae,Ficus,D,0,65
DeirAlla,DA_IA,Galium sp.,Rubiaceae,Galium,W,0,18
DeirAlla,DA_IA,Hordeum distichum/vulgare grain,Poaceae,Hordeum,D,0,13
DeirAlla,DA_IA,Hordeum distichum rachis ,Poaceae,Hordeum,D,1,24
DeirAlla,DA_IA,Hordeum vulgare vulgare grain (hulled),Poaceae,Hordeum,D,0,24
DeirAlla,DA_IA,Hordeum distichum grain (hulled),Poaceae,Hordeum,D,11,48
DeirAlla,DA_IA,Hordeum vulgare vulgare rachis,Poaceae,Hordeum,D,0,4
DeirAlla,DA_IA,Lathyrus sativus L.,Fabaceae,Lathyrus,D,0,4
DeirAlla,DA_IA,Lavatera sp.,Malvaceae,Lavatera,W,0,6
DeirAlla,DA_IA,Lens culinaris Medik.,Fabaceae,Lens,D,0,22
DeirAlla,DA_IA,Leontodon sp. L.,Asteraceae,Leontodon,W,0,6
DeirAlla,DA_IA,Lepidium sativum pod,Brassicaceae,Lepidium,D,0,87
DeirAlla,DA_IA,Linum usitatissimum L.,Linaceae,Linum,D,43,59
DeirAlla,DA_IA,Lolium temulentum L.,Poaceae,Lolium,W,0,41
DeirAlla,DA_IA,Matricaria sp. L.,Asteraceae,Matricaria,W,0,6
DeirAlla,DA_IA,Medicago sp.,Fabaceae,Medicago,W,0,18
DeirAlla,DA_IA,Nigella sativa L.,Ranunculaceae,Nigella,W,0,13
DeirAlla,DA_IA,Olea europaea L.,Oleaceae,Olea,D,0,20
DeirAlla,DA_IA,Phalaris sp.,Poaceae,Phalaris,W,0,24
DeirAlla,DA_IA,Pisum sativum L.,Fabaceae,Pisum,D,0,11
DeirAlla,DA_IA,Plantago sp.,Plantaginaceae,Plantago,W,0,12
DeirAlla,DA_IA,Polygonum sp.,Polygonaceae,Polygonum,W,0,6
DeirAlla,DA_IA,Punica granatum L.,Punicaceae,Punica,D,0,26
DeirAlla,DA_IA,Reseda sp.,Resedaceae,Reseda,W,0,6
DeirAlla,DA_IA,Scorpiurus muricatus L.,Fabaceae,Scorpiurus,W,0,24
DeirAlla,DA_IA,Sesamum orientale,Pedaliaceae,Sesamum,W,0,20
DeirAlla,DA_IA,Setaria sp.,Poaceae,Setaria,W,0,6
DeirAlla,DA_IA,Trigonella foenum_graecum L.,Fabaceae,Trigonella,K,3,17
DeirAlla,DA_IA,Triticum dicoccum grains,Poaceae,Triticum,D,0,26
DeirAlla,DA_IA,Triticum dicoccum glume bases,Poaceae,Triticum,D,0,30
DeirAlla,DA_IA,Triticum species indeterminate free threshing wheat rachis,Poaceae,Triticum,D,0,52
DeirAlla,DA_IA,Triticum species indeterminate free threshing wheat grains,Poaceae,Triticum,D,21,72
DeirAlla,DA_IA,Verbena officinalis L.,Verbenaceae,Verbena,W,0,12
DeirAlla,DA_IA,Vicia ervilia (L.) Willd.,Fabaceae,Vicia,D,0,37
DeirAlla,DA_IA,Vicia faba L.,Fabaceae,Vicia,D,0,2
DeirAlla,DA_IA,Vicia sativa L.,Fabaceae,Vicia,D,0,4
DeirAlla,DA_IA,Vitis vinifera L. pips,Vitaceae,Vitis,D,0,54
DeirAlla,DA_IA,Ziziphus spina_christi var. aucheri (Boiss.) M.Qaiser & S.Nazimuddin,Rhamnaceae,Ziziphus,D,0,6
DeirAlla,DA_LBA,Astragalus sp.,Fabaceae,Astragalus,W,0,8
DeirAlla,DA_LBA,Avena sp.,Poaceae,Avena,W,0,8
DeirAlla,DA_LBA,Bupleurum subovatum type,Apiaceae,Bupleurum,W,0,8
DeirAlla,DA_LBA,Chenopodium murale L.,Chenopodiaceae,Chenopodium,W,0,8
DeirAlla,DA_LBA,Cicer arietinum L.,Fabaceae,Cicer,D,0,8
DeirAlla,DA_LBA,Galium sp.,Rubiaceae,Galium,W,0,31
DeirAlla,DA_LBA,Hordeum distichum grain (hulled),Poaceae,Hordeum,D,22,69
DeirAlla,DA_LBA,Lavatera sp.,Malvaceae,Lavatera,W,0,8
DeirAlla,DA_LBA,Lens culinaris Medik.,Fabaceae,Lens,D,0,15
DeirAlla,DA_LBA,Linum usitatissimum L.,Linaceae,Linum,D,8,23
DeirAlla,DA_LBA,Lolium temulentum L.,Poaceae,Lolium,W,3,54
DeirAlla,DA_LBA,Olea europaea L.,Oleaceae,Olea,D,8,8
DeirAlla,DA_LBA,Phalaris sp.,Poaceae,Phalaris,W,0,8
DeirAlla,DA_LBA,Pisum sativum L.,Fabaceae,Pisum,D,15,23
DeirAlla,DA_LBA,Plantago sp.,Plantaginaceae,Plantago,W,0,8
DeirAlla,DA_LBA,Scorpiurus muricatus L.,Fabaceae,Scorpiurus,W,0,8
DeirAlla,DA_LBA,Triticum dicoccum grains,Poaceae,Triticum,D,0,8
DeirAlla,DA_LBA,Triticum species indeterminate free threshing wheat grains,Poaceae,Triticum,D,38,69
DeirAlla,DA_LBA,Vicia ervilia (L.) Willd.,Fabaceae,Vicia,D,6,31
DeirAlla,DA_LBA,Vitis vinifera L. pips,Vitaceae,Vitis,D,0,8
Demircihüyük,DH,Ajuga sp.,Lamiaceae,Ajuga,W,0,17
Demircihüyük,DH,Anagallis arvensis L.,Primulaceae,Anagallis,W,0,50
Demircihüyük,DH,Camelina sativa (L.) Crantz,Brassicaceae,Camelina,D,0,17
Demircihüyük,DH,Cereal indeterminate grains,Poaceae,_,D,8,100
Demircihüyük,DH,Cereal indeterminate rachis,Poaceae,_,D,3,100
Demircihüyük,DH,cf. Anthemis sp.,Asteraceae,Anthemis,W,8,33
Demircihüyük,DH,cf. Cicer sp.,Fabaceae,Cicer,W,0,33
Demircihüyük,DH,cf. Hyoscyamus sp.,Solanaceae,Hyoscyamus,W,0,33
Demircihüyük,DH,cf. Lathyrus sp.,Fabaceae,Lathyrus,W,0,17
Demircihüyük,DH,cf. Lithospermum L. sp.,Boraginaceae,Lithospermum,W,1,50
Demircihüyük,DH,cf. Onosma L. sp.,Boraginaceae,Onosma,W,0,17
Demircihüyük,DH,cf. Scirpus maritimus,Cyperaceae,Scirpus,W,0,33
Demircihüyük,DH,Chenopodium sp.,Chenopodiaceae,Chenopodium,W,0,33
Demircihüyük,DH,Cicer arietinum L.,Fabaceae,Cicer,D,0,17
Demircihüyük,DH,Asteraceae indet.,Asteraceae,_,W,0,67
Demircihüyük,DH,Conringia sp.,Brassicaceae,Conringia,W,0,17
Demircihüyük,DH,Cornus mas L.,Cornaceae,Cornus,W,0,17
Demircihüyük,DH,Fumaria officinalis L.,Papaveraceae,Fumaria,W,0,17
Demircihüyük,DH,Galium sp.,Rubiaceae,Galium,W,2,67
Demircihüyük,DH,Glaucium sp.,Papaveraceae,Glaucium,W,0,33
Demircihüyük,DH,Poaceae indet. small,Poaceae,_,W,7,100
Demircihüyük,DH,Hordeum vulgare vulgare grain (hulled),Poaceae,Hordeum,D,3,100
Demircihüyük,DH,Hordeum sp. (wild),Poaceae,Hordeum,W,0,17
Demircihüyük,DH,Hordeum vulgare vulgare rachis,Poaceae,Hordeum,D,0,83
Demircihüyük,DH,indeterminata,_,_,W,2,100
Demircihüyük,DH,Lamiaceae indet.,Lamiaceae,_,W,0,50
Demircihüyük,DH,Fabaceae indet.,Fabaceae,_,W,0,17
Demircihüyük,DH,Fabaceae sat. indet.,Fabaceae,_,D,0,100
Demircihüyük,DH,Lens culinaris Medik.,Fabaceae,Lens,D,0,50
Demircihüyük,DH,Medicago sp.,Fabaceae,Medicago,W,0,50
Demircihüyük,DH,Polygonum aviculare L.,Polygonaceae,Polygonum,W,0,67
Demircihüyük,DH,Rubus fruticosus agg.,Rosaceae,Rubus,W,0,33
Demircihüyük,DH,Sanguisorba minor Scop.,Rosaceae,Sanguisorba,W,0,17
Demircihüyük,DH,Silene sp. capsule,Caryophyllaceae,Silene,W,3,83
Demircihüyük,DH,Silene sp.,Caryophyllaceae,Silene,W,5,67
Demircihüyük,DH,Triticum boeoticum/monococcum grains,Poaceae,Triticum,W,1,83
Demircihüyük,DH,Triticum species indeterminate glume wheat spikelet forks,Poaceae,Triticum,D,45,100
Demircihüyük,DH,Triticum monococcum/dicoccum grains,Poaceae,Triticum,D,1,83
Demircihüyük,DH,Triticum species indeterminate fr thr/dicoccum wheat grains,Poaceae,Triticum,W,1,67
Demircihüyük,DH,Triticum boeoticum grains (1/2g),Poaceae,Triticum,W,3,83
Demircihüyük,DH,Triticum dicoccum grains,Poaceae,Triticum,D,2,100
Demircihüyük,DH,Triticum species indeterminate free threshing wheat rachis,Poaceae,Triticum,D,0,100
Demircihüyük,DH,Triticum species indeterminate free threshing wheat grains,Poaceae,Triticum,D,0,50
Demircihüyük,DH,Triticum monococcum grains (1/2g),Poaceae,Triticum,D,2,83
Demircihüyük,DH,Triticum species indeterminate fr thr/gl wheat grains,Poaceae,Triticum,D,0,33
Demircihüyük,DH,Valerianella lasiocarpa (Stev.),Valerianaceae,Valerianella,W,0,50
Demircihüyük,DH,Veronica hederifolia L.,Plantaginaceae,Veronica,W,0,17
Demircihüyük,DH,Veronica sp.,Plantaginaceae,Veronica,W,0,17
Demircihüyük,DH,Vicia ervilia (L.) Willd.,Fabaceae,Vicia,D,0,100
Dendra,DEN,Avena sp. spikelet,Poaceae,Avena,W,0,0
Dendra,DEN,Lupinus sp.,Fabaceae,Lupinus,W,0,0
Dendra,DEN,Tordylium apulum,Apiaceae,Tordylium,W,0,0
Dendra,DEN,Triticum dicoccum glume bases,Poaceae,Triticum,D,0,0
Dendra,DEN,Triticum species indeterminate free threshing wheat grains,Poaceae,Triticum,D,0,0
Dendra,DEN,Triticum monococcum glume bases,Poaceae,Triticum,D,0,0
Dhali Agridhi,DAGR,Amygdalus sp.,Rosaceae,Amygdalus,W,0,0
Dhali Agridhi,DAGR,Anchusa L. sp.,Boraginaceae,Anchusa,W,0,0
Dhali Agridhi,DAGR,Ficus carica L.,Moraceae,Ficus,D,0,0
Dhali Agridhi,DAGR,Olea europaea L.,Oleaceae,Olea,D,0,0
Dhali Agridhi,DAGR,Pistacia sp.,Anacardiaceae,Pistacia,W,0,0
Dhali Agridhi,DAGR,Vitis vinifera L. pips,Vitaceae,Vitis,D,0,0
Dhiban,DHI_IA,Ficus carica L.,Moraceae,Ficus,D,,
Dhiban,DHI_IA,Hordeum sp. grains,Poaceae,Hordeum,W,,
Dhiban,DHI_IA,Phalaris sp.,Poaceae,Phalaris,W,,
Dhiban,DHI_IA,Silene sp.,Caryophyllaceae,Silene,W,,
Dhiban,DHI_IA,Triticum species indeterminate free threshing wheat grains,Poaceae,Triticum,D,,
Dhiban,DHI_IA,Triticum species indeterminate fr thr/gl wheat grains,Poaceae,Triticum,D,,
Dhiban,DHI_IA,Vitis vinifera L. pips,Vitaceae,Vitis,D,,
Dhuweila,DHI,Arnebia decumbens (Vent.) Cosson & Kralik,Boraginaceae,Arnebia,W,2,20
Dhuweila,DHI,Atriplex sp.,Chenopodiaceae,Atriplex,W,2,20
Dhuweila,DHI,Cistanche tubulosa,Orobanchaceae,Cistanche,W,0,0
Dhuweila,DHI,Erodium sp.,Geraniaceae,Erodium,W,10,60
Dhuweila,DHI,Poaceae indet.,Poaceae,_,W,2,20
Dhuweila,DHI,Hordeum spontaneum Koch,Poaceae,Hordeum,W,5,20
Dhuweila,DHI,Fabaceae indeterminate large,Fabaceae,_,W,2,20
Dhuweila,DHI,Fabaceae indeterminate small,Fabaceae,_,W,48,100
Dhuweila,DHI,Liliaceae indeterminate,Liliaceae,_,W,19,80
Dhuweila,DHI,Plantago sp.,Plantaginaceae,Plantago,W,2,20
Dhuweila,DHI,Stipa sp.,Poaceae,Stipa,W,2,20
Dhuweila,DHI,Triticum boeoticum grains (2g),Poaceae,Triticum,W,5,20
Dhuweila,DHII,Arnebia linearifolia DC.,Boraginaceae,Arnebia,W,4,50
Dhuweila,DHII,Chenopodiaceae/Caryophyllaceae indeterminate,Caryophyllaceae/Chenopodiaceae,_,_,11,50
Dhuweila,DHII,Cistanche tubulosa,Orobanchaceae,Cistanche,W,0,0
Dhuweila,DHII,Poaceae indet.,Poaceae,_,W,4,50
Dhuweila,DHII,Hordeum sp. (wild),Poaceae,Hordeum,W,4,50
Dhuweila,DHII,Fabaceae indeterminate small,Fabaceae,_,W,7,50
Dhuweila,DHII,Liliaceae indeterminate,Liliaceae,_,W,59,100
Dhuweila,DHII,Plantago sp.,Plantaginaceae,Plantago,W,4,50
Dhuweila,DHII,Scirpus sp.,Cyperaceae,Scirpus,W,4,50
Dhuweila,DHII,Stipa sp.,Poaceae,Stipa,W,4,50
Diban 11,DIBX_M,Gossypium arboreum/herbaceum,Malvaceae,Gossypium,D,10,50
Diban 11,DIBX_M,Hordeum distichum/vulgare rachis,Poaceae,Hordeum,D,1,50
Diban 11,DIBX_M,Hordeum distichum/vulgare grain (hulled),Poaceae,Hordeum,D,1,50
Diban 11,DIBX_M,Hordeum sp. grains,Poaceae,Hordeum,W,1,50
Diban 11,DIBX_M,Hordeum vulgare vulgare rachis,Poaceae,Hordeum,D,4,50
Diban 11,DIBX_M,Panicum miliaceum,Poaceae,Panicum,D,1,50
Diban 11,DIBX_M,Panicum/Setaria,Poaceae,Panicum/Setaria,W,4,100
Diban 11,DIBX_M,Triticum species free threshing wheat hexaploid rachis,Poaceae,Triticum,D,17,50
Diban 11,DIBX_M,Triticum species free threshing wheat tetraploid rachis,Poaceae,Triticum,D,18,50
Diban 11,DIBX_M,Triticum species indeterminate free threshing wheat grains,Poaceae,Triticum,D,25,100
Diban 11,DIBX_M,Triticum species indeterminate fr thr/gl wheat rachis,Poaceae,Triticum,D,15,50
Diban 11,DIBX_M,Vitis vinifera L. pips,Vitaceae,Vitis,D,1,50
Diban 5,DIBV_M,Hordeum distichum rachis ,Poaceae,Hordeum,D,7,0
Diban 5,DIBV_M,Hordeum distichum/vulgare grain (hulled),Poaceae,Hordeum,D,7,0
Diban 5,DIBV_M,Panicum miliaceum,Poaceae,Panicum,D,7,0
Diban 5,DIBV_M,Prunus persica (L.) Batsch,Rosaceae,Prunus,W,7,0
Diban 5,DIBV_M,Prunus sp.,Rosaceae,Prunus,D,7,0
Diban 5,DIBV_M,Secale cereale grains,Poaceae,Secale,D,7,0
Diban 5,DIBV_M,Setaria italica (L.) P. Beauv.,Poaceae,Setaria,D,7,0
Diban 5,DIBV_M,Triticum species free threshing wheat hexaploid rachis,Poaceae,Triticum,D,7,0
Diban 5,DIBV_M,Triticum species indeterminate free threshing wheat grains,Poaceae,Triticum,D,43,0
Dikili Tash,DT_LN,Asperula/Galium sp.,Rubiaceae,Asperula/Galium,W,0,10
Dikili Tash,DT_LN,Avena sp.,Poaceae,Avena,W,0,1
Dikili Tash,DT_LN,Cereal indeterminate grains,Poaceae,_,D,0,8
Dikili Tash,DT_LN,Asteraceae indet.,Asteraceae,_,W,0,1
Dikili Tash,DT_LN,Cornus mas L.,Cornaceae,Cornus,W,0,7
Dikili Tash,DT_LN,Corylus avellana,Betulaceae,Corylus,W,0,1
Dikili Tash,DT_LN,Ficus carica L.,Moraceae,Ficus,D,1,24
Dikili Tash,DT_LN,Hordeum distichum/vulgare grain (naked),Poaceae,Hordeum,D,0,9
Dikili Tash,DT_LN,Hordeum distichum grain (hulled),Poaceae,Hordeum,D,2,26
Dikili Tash,DT_LN,Lamiaceae indet.,Lamiaceae,_,W,0,1
Dikili Tash,DT_LN,Lathyrus sp.,Fabaceae,Lathyrus,W,1,31
Dikili Tash,DT_LN,Lens culinaris Medik.,Fabaceae,Lens,D,40,68
Dikili Tash,DT_LN,Lithospermum L. sp.,Boraginaceae,Lithospermum,W,0,10
Dikili Tash,DT_LN,Pistacia terebinthus L.,Anacardiaceae,Pistacia,W,0,1
Dikili Tash,DT_LN,Pisum sp.,Fabaceae,Pisum,W,0,1
Dikili Tash,DT_LN,Polygonaceae indet.,Polygonaceae,_,W,0,10
Dikili Tash,DT_LN,Pyrus/Sorbus sp.,Rosaceae,Pyrus/Sorbus,W,0,15
Dikili Tash,DT_LN,Quercus sp.,Fagaceae,Quercus,W,0,1
Dikili Tash,DT_LN,Rubus sp.,Rosaceae,Rubus,W,0,4
Dikili Tash,DT_LN,Sambucus ebulus L.,Caprifoliaceae,Sambucus,W,0,1
Dikili Tash,DT_LN,Sambucus nigra,Caprifoliaceae,Sambucus,W,0,4
Dikili Tash,DT_LN,Silene gallica L.,Caryophyllaceae,Silene,W,0,1
Dikili Tash,DT_LN,Solanaceae indeterminate,Solanaceae,_,W,0,1
Dikili Tash,DT_LN,Triticum dicoccum grains,Poaceae,Triticum,D,52,66
Dikili Tash,DT_LN,Triticum dicoccum spikelet forks,Poaceae,Triticum,D,0,1
Dikili Tash,DT_LN,Triticum species indeterminate glume wheat grains,Poaceae,Triticum,D,1,3
Dikili Tash,DT_LN,Triticum monococcum grains (1/2g),Poaceae,Triticum,D,1,9
Dikili Tash,DT_LN,Triticum monococcum spikelet forks,Poaceae,Triticum,D,0,2
Dikili Tash,DT_LN,Apiaceae indeterminate,Apiaceae,_,W,0,1
Dikili Tash,DT_LN,Vicia ervilia (L.) Willd.,Fabaceae,Vicia,D,2,45
Dikili Tash,DT_LN,Vitis sylvestris Gmelin,Vitaceae,Vitis,W,0,33
Dilkaya Höyük,DIL,Adonis sp.,Ranunculaceae,Adonis,W,0,33
Dilkaya Höyük,DIL,Aegilops sp. glume bases (spikelet bases),Poaceae,Aegilops,W,0,11
Dilkaya Höyük,DIL,Boraginaceae indeterminate,Boraginaceae,_,W,0,56
Dilkaya Höyük,DIL,Carex sp.,Cyperaceae,Carex,W,8,100
Dilkaya Höyük,DIL,Caryophyllaceae indet.,Caryophyllaceae,_,W,0,67
Dilkaya Höyük,DIL,Centaurea sp. L.,Asteraceae,Centaurea,W,0,22
Dilkaya Höyük,DIL,Cereal indeterminate basal culm,Poaceae,_,D,0,22
Dilkaya Höyük,DIL,Cereal indeterminate culm,Poaceae,_,D,0,89
Dilkaya Höyük,DIL,Cereal indeterminate chaff,Poaceae,_,D,0,22
Dilkaya Höyük,DIL,Cereal indeterminate grains,Poaceae,_,D,0,22
Dilkaya Höyük,DIL,Asteraceae indet.,Asteraceae,_,W,0,56
Dilkaya Höyük,DIL,Brassicaceae indet.,Brassicaceae,_,W,0,56
Dilkaya Höyük,DIL,Cyperaceae indet.,Cyperaceae,_,W,0,56
Dilkaya Höyük,DIL,Euclidium syriacum (L.) R.,Brassicaceae,Euclidium,W,0,44
Dilkaya Höyük,DIL,Galium sp.,Rubiaceae,Galium,W,0,56
Dilkaya Höyük,DIL,Poaceae indet.,Poaceae,_,W,2,100
Dilkaya Höyük,DIL,Hordeum distichum rachis ,Poaceae,Hordeum,D,0,56
Dilkaya Höyük,DIL,Hordeum distichum grain (hulled),Poaceae,Hordeum,D,51,89
Dilkaya Höyük,DIL,indeterminata,_,_,W,25,100
Dilkaya Höyük,DIL,Fabaceae indeterminate small,Fabaceae,_,W,0,33
Dilkaya Höyük,DIL,Medicago sp.,Fabaceae,Medicago,W,3,100
Dilkaya Höyük,DIL,Thymelaea sp.,Thymelaeaceae,Thymelaea,W,0,11
Dilkaya Höyük,DIL,Triticum dicoccum/aestivum,Poaceae,Triticum,W,0,11
Dilkaya Höyük,DIL,Triticum dicoccum/aestivum spikelet,Poaceae,Triticum,W,0,56
Dilkaya Höyük,DIL,Triticum species free threshing wheat hexaploid rachis,Poaceae,Triticum,D,1,78
Dilkaya Höyük,DIL,Trigonella sp.,Fabaceae,Trigonella,W,10,89
Dilkaya Höyük,DIL,Triticum species free threshing wheat hexaploid grains,Poaceae,Triticum,D,0,100
Dilkaya Höyük,DIL,Vicia sp.,Fabaceae,Vicia,D,0,33
Dimini,DIM,Amygdalus sp.,Rosaceae,Amygdalus,W,0,0
Dimini,DIM,Vitis vinifera L. pips,Vitaceae,Vitis,D,0,0
Djade,DJ,Adonis sp.,Ranunculaceae,Adonis,W,0,0
Djade,DJ,Aegilops sp. grains,Poaceae,Aegilops,W,0,0
Djade,DJ,Amygdalus sp.,Rosaceae,Amygdalus,W,0,0
Djade,DJ,Arnebia Forssk. sp.,Boraginaceae,Arnebia,W,0,0
Djade,DJ,Atriplex sp.,Chenopodiaceae,Atriplex,W,0,0
Djade,DJ,Brassica sp.,Brassicaceae,Brassica,W,0,0
Djade,DJ,Bromus sp.,Poaceae,Bromus,W,0,0
Djade,DJ,Camelina sp.,Brassicaceae,Camelina,W,0,0
Djade,DJ,Capparis sp.,Capparaceae,Capparis,W,0,0
Djade,DJ,Centaurea sp. L.,Asteraceae,Centaurea,W,0,0
Djade,DJ,Cereal indeterminate culm,Poaceae,_,D,0,0
