Site,Phase,Taxon,Family,Genus,domestic_wild,Proportion_per_Phase,Ubquity
Ain Ghazal,AG,Silene sp.,Caryophyllaceae,Silene,W,0,0
Ain Ghazal,AG,Triticum dicoccum grains,Poaceae,Triticum,D,0,43
Ain Ghazal,AG,Triticum dicoccum spikelet forks,Poaceae,Triticum,D,0,0
Ain Ghazal,AG,Vicia faba L.,Fabaceae,Vicia,D,0,0
Ain Ghazal,AG,Vicia sp.,Fabaceae,Vicia,D,0,0
Abior cave,AC,Avena sterilis L.,Poaceae,Avena,W,0,0
Abior cave,AC,Balanites aegyptiaca Delile,Balanitaceae,Balanites,W,1,0
Abior cave,AC,Carthamus nitidus,Asteraceae,Carthamus,W,0,0
Abior cave,AC,Ceratonia siliqua L.,Fabaceae,Ceratonia,W,1,0
Abior cave,AC,Citrullus colocynthis (L.) Schrader in Linnaea,Cucurbitaceae,Citrullus,W,0,0
Abior cave,AC,Cordia sinensis,Boraginaceae,Cordia,K,0,0
Abior cave,AC,Crataegus aronia (L.) Boiss.ex DC. ,Rosaceae,Crataegus,W,0,0
Abior cave,AC,Hordeum distichum/vulgare rachis,Poaceae,Hordeum,D,0,0
Abior cave,AC,Hordeum vulgare vulgare grain (hulled),Poaceae,Hordeum,D,3,0
Abior cave,AC,Hordeum spontaneum rachis internodes,Poaceae,Hordeum,W,0,0
Abior cave,AC,Juglans regia L.,Juglandaceae,Juglans,D,0,0
Abior cave,AC,Olea europaea L.,Oleaceae,Olea,D,32,0
Abior cave,AC,Phoenix dactylifera L.,Palmaceae,Phoenix,D,33,0
Abior cave,AC,Phoenix dactylifera L. fruit,Palmaceae,Phoenix,W,0,0
Abior cave,AC,Pistacia atlantica Desf.,Anacardiaceae,Pistacia,D,14,0
Abior cave,AC,Punica granatum L.,Punicaceae,Punica,D,0,0
Abior cave,AC,Salvia viridis, calyx,Lamiaceae,Salvia,W,0,0
Abior cave,AC,Triticum dicoccum spikelet forks,Poaceae,Triticum,D,4,0
Abior cave,AC,Vicia faba L.,Fabaceae,Vicia,D,0,0
Abior cave,AC,Ziziphus spina_christi var. aucheri (Boiss.) M.Qaiser & S.Nazimuddin,Rhamnaceae,Ziziphus,D,8,0
Abior cave,AC,Ziziphus spina_christi var. aucheri (Boiss.) M.Qaiser & S.Nazimuddin fruit,Rhamnaceae,Ziziphus,W,0,0
Abu Hamid,AHA,Cicer arietinum L.,Fabaceae,Cicer,D,0,0
Abu Hamid,AHA,Ficus sp.,Moraceae,Ficus,W,0,0
Abu Hamid,AHA,Hordeum vulgare vulgare grain (hulled),Poaceae,Hordeum,D,0,0
Abu Hamid,AHA,Lathyrus sativus L.,Fabaceae,Lathyrus,D,0,0
Abu Hamid,AHA,Lens culinaris Medik.,Fabaceae,Lens,D,0,0
Abu Hamid,AHA,Linum usitatissimum L.,Linaceae,Linum,D,0,0
Abu Hamid,AHA,Olea europaea L.,Oleaceae,Olea,D,0,0
Abu Hamid,AHA,Triticum dicoccum grains,Poaceae,Triticum,D,0,0
Abu Hamid,AHA,Triticum species indeterminate free threshing wheat grains,Poaceae,Triticum,D,0,0
Abu Salabikh,AS_P2,Aegilops/Triticum,Poaceae,Aegilops/Triticum,W,0,25
Abu Salabikh,AS_P2,Cereal indeterminate grains,Poaceae,_,D,11,75
Abu Salabikh,AS_P2,Cyperus sp.,Cyperaceae,Cyperus,W,1,50
Abu Salabikh,AS_P2,Ficus sp.,Moraceae,Ficus,W,4,50
Abu Salabikh,AS_P2,Galium sp.,Rubiaceae,Galium,W,1,25
Abu Salabikh,AS_P2,Poaceae indet. culm fragments,Poaceae,_,W,1,25
Abu Salabikh,AS_P2,Poaceae indet. small,Poaceae,_,W,26,75
Abu Salabikh,AS_P2,Hordeum distichum/vulgare rachis,Poaceae,Hordeum,D,5,75
Abu Salabikh,AS_P2,Hordeum distichum/vulgare grain,Poaceae,Hordeum,D,15,100
Abu Salabikh,AS_P2,Hordeum spontaneum Koch,Poaceae,Hordeum,W,1,25
Abu Salabikh,AS_P2,Fabaceae indeterminate large,Fabaceae,_,W,2,50
Abu Salabikh,AS_P2,Fabaceae indeterminate small,Fabaceae,_,W,6,75
Abu Salabikh,AS_P2,Malva sp.,Malvaceae,Malva,W,3,50
Abu Salabikh,AS_P2,Prosopis sp.,Fabaceae,Prosopis,W,1,50
Abu Salabikh,AS_P2,Salsola sp.,Chenopodiaceae,Salsola,W,3,50
Abu Salabikh,AS_P2,Scirpus sp.,Cyperaceae,Scirpus,W,0,25
Abu Salabikh,AS_P2,Sesamum sp. L.,Pedaliaceae,Sesamum,D,7,50
Abu Salabikh,AS_P2,Suaeda sp.,Chenopodiaceae,Suaeda,W,3,50
Abu Salabikh,AS_P2,Triticum monococcum/dicoccum glume bases,Poaceae,Triticum,D,2,75
Abu Salabikh,AS_P2,Triticum monococcum/dicoccum grains,Poaceae,Triticum,D,6,50
Abu Salabikh,AS_P3,Amaranthus sp.,Amaranthaceae,Amaranthus,W,1,33
Abu Salabikh,AS_P3,Arenaria sp.,Caryophyllaceae,Arenaria,W,1,33
Abu Salabikh,AS_P3,Cereal indeterminate culm,Poaceae,_,D,2,67
Abu Salabikh,AS_P3,Cereal indeterminate grains,Poaceae,_,D,3,100
Abu Salabikh,AS_P3,Cyperus sp.,Cyperaceae,Cyperus,W,1,67
Abu Salabikh,AS_P3,Ficus sp.,Moraceae,Ficus,W,1,33
Abu Salabikh,AS_P3,Galium sp.,Rubiaceae,Galium,W,0,33
Abu Salabikh,AS_P3,Poaceae indet. culm fragments,Poaceae,_,W,0,33
Abu Salabikh,AS_P3,Poaceae indet. small,Poaceae,_,W,19,100
Abu Salabikh,AS_P3,Hordeum distichum/vulgare rachis,Poaceae,Hordeum,D,10,100
Abu Salabikh,AS_P3,Hordeum distichum/vulgare grain,Poaceae,Hordeum,D,27,100
Abu Salabikh,AS_P3,Hordeum spontaneum Koch,Poaceae,Hordeum,W,0,33
Abu Salabikh,AS_P3,Fabaceae indeterminate small,Fabaceae,_,W,8,67
Abu Salabikh,AS_P3,Linum sp.,Linaceae,Linum,W,1,33
Abu Salabikh,AS_P3,Malva sp.,Malvaceae,Malva,W,0,33
Abu Salabikh,AS_P3,Polygonum corregioloides,Polygonaceae,Polygonum,W,2,67
Abu Salabikh,AS_P3,Polygonum type,Polygonaceae,Polygonum,W,0,33
Abu Salabikh,AS_P3,Prosopis sp.,Fabaceae,Prosopis,W,1,67
Abu Salabikh,AS_P3,Rumex sp.,Polygonaceae,Rumex,W,1,33
Abu Salabikh,AS_P3,Salsola sp.,Chenopodiaceae,Salsola,W,2,100
Abu Salabikh,AS_P3,Scirpus sp.,Cyperaceae,Scirpus,W,2,100
Abu Salabikh,AS_P3,Sesamum sp. L.,Pedaliaceae,Sesamum,D,2,67
Abu Salabikh,AS_P3,Sisymbrium type,Brassicaceae,Sisymbrium,W,2,67
Abu Salabikh,AS_P3,Suaeda sp.,Chenopodiaceae,Suaeda,W,7,67
Abu Salabikh,AS_P3,Triticum monococcum/dicoccum glume bases,Poaceae,Triticum,D,6,100
Abu Salabikh,AS_P3,Triticum boeoticum grains (1/2g),Poaceae,Triticum,W,0,33
Achilleion,AnI,Avena sp.,Poaceae,Avena,W,8,23
Achilleion,AnI,Bromus sp.,Poaceae,Bromus,W,1,8
Achilleion,AnI,Galium sp.,Rubiaceae,Galium,W,1,8
Achilleion,AnI,Hordeum vulgare vulgare grain (hulled),Poaceae,Hordeum,D,19,54
Achilleion,AnI,Lens sp.,Fabaceae,Lens,D,9,31
Achilleion,AnI,Pistacia sp.,Anacardiaceae,Pistacia,W,4,15
Achilleion,AnI,Quercus sp.,Fagaceae,Quercus,W,8,46
Achilleion,AnI,Stellaria sp.,Caryophyllaceae,Stellaria,W,1,8
Achilleion,AnI,Triticum dicoccum grains,Poaceae,Triticum,D,38,23
Achilleion,AnI,Triticum monococcum grains (1/2g),Poaceae,Triticum,D,11,31
Achilleion,AnI,Vitis sylvestris Gmelin,Vitaceae,Vitis,W,1,8
Achilleion,AnII,Avena sp.,Poaceae,Avena,W,0,6
Achilleion,AnII,Hordeum vulgare vulgare grain (hulled),Poaceae,Hordeum,D,0,6
Achilleion,AnII,Lithospermum arvense L.,Boraginaceae,Lithospermum,W,96,6
Achilleion,AnII,Malus sp.,Rosaceae,Malus,W,0,6
Achilleion,AnII,Pistacia sp.,Anacardiaceae,Pistacia,W,0,6
Achilleion,AnII,Pisum sp.,Fabaceae,Pisum,W,0,6
Achilleion,AnII,Quercus sp.,Fagaceae,Quercus,W,2,71
Achilleion,AnII,Triticum dicoccum grains,Poaceae,Triticum,D,1,12
Achilleion,AnII,Triticum monococcum grains (1/2g),Poaceae,Triticum,D,0,6
Achilleion,AnII,Triticum monococcum spikelet forks,Poaceae,Triticum,D,0,6
Agios Mamas,AM_MBA,Adonis sp.,Ranunculaceae,Adonis,W,0,20
Agios Mamas,AM_MBA,Galium spurium L.,Rubiaceae,Galium,W,0,20
Agios Mamas,AM_MBA,Hordeum vulgare vulgare grain (hulled),Poaceae,Hordeum,D,11,100
Agios Mamas,AM_MBA,Lathyrus sativus L.,Fabaceae,Lathyrus,D,1,40
Agios Mamas,AM_MBA,Lens culinaris Medik.,Fabaceae,Lens,D,0,100
Agios Mamas,AM_MBA,Linum usitatissimum L.,Linaceae,Linum,D,0,40
Agios Mamas,AM_MBA,Lolium remotum Schrank,Poaceae,Lolium,W,0,20
Agios Mamas,AM_MBA,Panicum miliaceum,Poaceae,Panicum,D,0,20
Agios Mamas,AM_MBA,Potamogeton sp.,Potamogetonaceae,Potamogeton,W,0,20
Agios Mamas,AM_MBA,Sherardia arvensis L.,Rubiaceae,Sherardia,W,0,20
Agios Mamas,AM_MBA,Triticum dicoccum grains,Poaceae,Triticum,D,0,20
Agios Mamas,AM_MBA,Triticum dicoccum glume bases,Poaceae,Triticum,D,0,40
Agios Mamas,AM_MBA,Triticum monococcum glume bases,Poaceae,Triticum,D,0,40
Agios Mamas,AM_MBA,Triticum monococcum grains (1/2g),Poaceae,Triticum,D,0,80
Agios Mamas,AM_MBA,Vicia ervilia (L.) Willd.,Fabaceae,Vicia,D,17,100
Agios Mamas,AM_MBA,Vicia faba L.,Fabaceae,Vicia,D,71,100
Agios Mamas,AM_MBA,Vitis vinifera L. pips,Vitaceae,Vitis,D,0,60
Akrotiri,AK,Chrysanthemum segetum,Asteraceae,Chrysanthemum,W,0,0
Akrotiri,AK,Coriandrum sativum,Apiaceae,Coriandrum,D,0,0
Akrotiri,AK,Ficus carica L.,Moraceae,Ficus,D,0,0
Akrotiri,AK,Hordeum vulgare vulgare grain (hulled),Poaceae,Hordeum,D,0,0
Akrotiri,AK,Hordeum distichum grain (hulled),Poaceae,Hordeum,D,0,0
Akrotiri,AK,Juncus sp.,Juncaceae,Juncus,W,0,0
Akrotiri,AK,Lathyrus cicera/sativus,Fabaceae,Lathyrus,D,0,0
Akrotiri,AK,Lathyrus clymenum L.,Fabaceae,Lathyrus,W,0,0
Akrotiri,AK,Lens culinaris Medik.,Fabaceae,Lens,D,0,0
Akrotiri,AK,Olea europaea L.,Oleaceae,Olea,D,0,0
Akrotiri,AK,Pisum sativum L.,Fabaceae,Pisum,D,0,0
Akrotiri,AK,Sagittaria sagittifolia L.,Alismataceae,Sagittaria,W,0,0
Akrotiri,AK,Schoenus nigricans L.,Cyperaceae,Schoenus,W,0,0
Akrotiri,AK,Sherardia arvensis L.,Rubiaceae,Sherardia,W,0,0
Akrotiri,AK,Sinapis arvensis L.,Brassicaceae,Sinapis,D,0,0
Akrotiri,AK,Thesium sp.,Santalaceae,Thesium,W,0,0
Akrotiri,AK,Triticum dicoccum grains,Poaceae,Triticum,D,0,0
Akrotiri,AK,Triticum monococcum grains (1/2g),Poaceae,Triticum,D,0,0
Akrotiri,AK,Vitis vinifera L. pips,Vitaceae,Vitis,D,0,0
Ali Kosh,AK_AK,Aegilops crassa,Poaceae,Aegilops,W,9,0
Ali Kosh,AK_AK,Avena sp.,Poaceae,Avena,W,2,0
Ali Kosh,AK_AK,Capparis spinosa L.,Capparaceae,Capparis,W,0,0
Ali Kosh,AK_AK,Cereal indeterminate grains,Poaceae,_,D,21,0
Ali Kosh,AK_AK,Fumaria sp.,Papaveraceae,Fumaria,W,0,0
Ali Kosh,AK_AK,Galium sp.,Rubiaceae,Galium,W,0,0
